id	content_type	sentence
0	other	a a a!
1	other	a a a!
2	other	a a a!
3	other	a a a! ni li musi.
4	other	a
5	other	a! akesi li wile moku e mi!
6	other	A: a! sina lukin ala lukin e ijo nasa ni?
7	other	a
8	other	Akanisan
9	other	akesi
10	other	akesi li pana e telo moli.
11	other	akesi
12	other	akesi pi telo moli
13	other	akesi
14	other	ala
15	other	ala
16	other	ala
17	other	ala!
18	other	ala li jaki.
19	other	Alan
20	other	ala
21	other	ala
22	other	alasa
23	other	alasa (e)
24	other	alasa
25	other	alasa
26	other	ala
27	other	ale
28	other	ale
29	other	ale
30	other	ale / ali
31	other	ale li jo e tenpo.
32	other	ale li pona.
33	other	ale li pona
34	other	ale
35	other	Alensina
36	other	ali
37	other	ali
38	other	ali
39	other	ali
40	other	ali li seme?
41	other	ali
42	other	ali tu
43	other	A: mi mute o tawa.
44	other	A: mi tawa ma Elopa.
45	other	Anku
46	other	anpa
47	other	anpa
48	other	anpa (e)
49	other	anpa
50	other	anpa lawa
51	other	anpa lawa
52	other	anpa
53	other	anpa pi sinpin lawa
54	other	anpa
55	other	ante
56	other	ante (e)
57	other	ante la
58	other	ante li kama.
59	other	ante
60	other	ante
61	other	Antola
62	other	anu
63	other	anu
64	other	a!
65	other	a! telo sijelo loje li kama tan nena kute mi!
66	other	awen
67	other	awen
68	other	awen (e)
69	other	awen
70	other	awen pona
71	other	awen
72	other	awen
73	other	Awisi
74	other	B: mi ken ala. mi moku kin.
75	other	B: mi lukin kin e ona.
76	other	B: pona! mi tawa kin.
77	other	e
78	other	Ekato
79	other	Elena
80	other	en
81	other	en
82	other	Epanja
83	other	Esi
84	other	Esuka
85	other	esun
86	other	esun (e)
87	other	esun
88	other	esun
89	other	ijo
90	other	ijo
91	other	ijo (e)
92	other	ijo ike li lon monsi mi.
93	other	ijo li lon oko mi.
94	other	ijo li lukin e mi.
95	other	ijo lon tomo
96	other	ijo
97	other	ijo
98	other	ijo uta walo
99	other	ike
100	other	ike
101	other	ike
102	other	ike
103	other	ike (e)
104	other	ike!
105	other	ike la
106	other	ike li kama.
107	other	ike lukin
108	other	ike lukin
109	other	ike
110	other	ike!
111	other	ike
112	other	Ilakija
113	other	Ilan
114	other	I like plants.
115	other	ilo
116	other	ilo
